cluster,size,coherence
540,17,0.9542957754696116
541,7,0.9640650976271856
542,8,0.887444087437221
543,16,0.9054069519042969
544,16,0.9444083531697591
545,12,0.9471005526455966
546,8,0.9717493738446917
547,6,0.9747088750203451
548,12,0.9719524961529356
549,5,0.9633349418640137
550,6,0.9660260518391927
551,6,0.9844866434733073
552,9,0.9738197326660156
553,11,0.9742455222389915
554,5,0.9148695945739747
555,6,0.9659123102823893
556,8,0.9600752421787807
557,9,0.9267438252766927
558,5,0.986295509338379
559,9,0.946229510837131
560,15,0.8783827282133556
561,12,0.9468470486727628
562,11,0.9704693880948153
563,8,0.9783836092267718
564,31,0.9281003234206989
565,7,0.9486034938267299
566,18,0.9610603681576797
567,6,0.9759077072143555
568,9,0.9794659084743924
569,7,0.9826996212913877
570,6,0.9643113454182942
571,6,0.9881742477416993
572,11,0.9557131680575284
573,12,0.9747551426743016
574,8,0.969632625579834
575,9,0.9611545138888888
576,12,0.947081825949929
577,14,0.9408083905230512
578,12,0.953290997129498
579,12,0.9568781997218276
580,13,0.9604901044796674
581,5,0.9652633666992188
