cluster_id,product_count,mean_margin,median_margin,std_margin,min_margin,max_margin,margin_range,high_variance
cluster_44,4,0.37588038211552643,0.39343520090548956,0.0667690858984111,0.28230769230769237,0.43434343434343436,0.152035742035742,False
cluster_440,3,0.21498309456771322,0.2114093959731544,0.006195640696509851,0.21140268456375844,0.22213720316622687,0.010734518602468435,False
cluster_441,6,0.4846284903889912,0.2510460251046025,0.4001252169467221,0.17682317073170725,1.0,0.8231768292682927,True
cluster_442,2,0.12189715244869062,0.12189715244869062,0.1531175321710128,0.013626707132018124,0.2301675977653631,0.21654089063334497,True
cluster_443,4,0.09429065743944635,0.09429065743944635,0.0,0.09429065743944635,0.09429065743944635,0.0,False
cluster_444,5,0.562992125984252,0.2716535433070866,0.3989317840096683,0.2716535433070866,1.0,0.7283464566929134,True
cluster_445,4,0.42606220846607795,0.23533609576427264,0.3826261917210021,0.23357664233576644,1.0,0.7664233576642335,True
cluster_446,1,0.1672025723472669,0.1672025723472669,0.0,0.1672025723472669,0.1672025723472669,0.0,False
cluster_447,5,0.6553102585667767,1.0,0.4775833343251408,0.035171982489055675,1.0,0.9648280175109443,True
cluster_448,8,0.13611728780527976,0.16588297311544548,0.048468605483146465,0.03420537897310511,0.16774193548387098,0.13353655651076587,False
cluster_449,4,0.49090150250417364,0.4991652754590985,0.01652754590984975,0.466110183639399,0.4991652754590985,0.03305509181969951,False
cluster_45,5,0.17648055968538162,0.14820788530465948,0.10833660546278306,0.0634920634920634,0.3565967365967366,0.29310467310467314,False
cluster_450,4,0.5326377295492487,0.4991652754590985,0.09033570857504958,0.466110183639399,0.666110183639399,0.2,False
cluster_451,4,0.23735138653544102,0.23975266962680267,0.09683528615804185,0.11646586345381527,0.35343434343434343,0.23696847998052817,False
cluster_452,4,0.07883739360922785,0.08611825192802056,0.014561716637585402,0.056994818652849756,0.08611825192802056,0.0291234332751708,False
cluster_453,3,0.10987877062078687,0.10255639097744366,0.05304366724327372,0.06087671232876711,0.1662032085561498,0.1053264962273827,False
cluster_454,7,0.6786613953600041,1.0,0.40196473135814237,0.18854961832061076,1.0,0.8114503816793892,True
cluster_455,7,0.4612699048931132,0.23598820058997058,0.3858891932703721,0.11285266457680247,1.0,0.8871473354231976,True
cluster_456,5,0.5378852803579904,0.23673469387755103,0.421872507311024,0.22594752186588932,1.0,0.7740524781341107,True
cluster_457,3,0.7603748326639893,1.0,0.4150429645981647,0.2811244979919679,1.0,0.7188755020080321,True
cluster_458,4,0.08067237936981864,0.06606787578212847,0.06031432653766074,0.024390243902438987,0.1661635220125786,0.14177327811013962,False
cluster_459,6,0.4868530701754386,0.23029605263157893,0.39748190294582814,0.2302631578947369,1.0,0.769736842105263,True
cluster_46,4,0.1863088265262501,0.19839790978875088,0.11636198808748444,0.05405405405405403,0.29438543247344456,0.24033137841939053,False
cluster_460,11,0.7099090172814574,1.0,0.33349788197261065,0.3358208955223881,1.0,0.664179104477612,True
cluster_461,2,0.6550218340611353,0.6550218340611353,0.4878728009933385,0.31004366812227074,1.0,0.6899563318777293,True
cluster_462,16,0.1077305201254355,0.10627016524708562,0.09514757065475696,-0.1639344262295082,0.2878787878787878,0.451813214108296,False
cluster_463,1,0.9395210578953217,0.9395210578953217,0.0,0.9395210578953217,0.9395210578953217,0.0,False
cluster_464,3,0.14243666966397253,0.1366742596810933,0.09492512516303564,0.05052401746724887,0.2401117318435754,0.18958771437632654,False
cluster_466,3,0.23209981626695178,0.22983298538622135,0.004064031377991075,0.22967479674796745,0.2367916666666666,0.007116869918699142,False
cluster_468,3,0.537454699322979,0.3113425925925926,0.40060922055555365,0.30102150537634415,1.0,0.6989784946236559,True
cluster_469,3,0.5954689265536723,0.4,0.35040010837259267,0.386406779661017,1.0,0.613593220338983,True
cluster_47,4,0.5531658856082948,0.471334906012828,0.3190146601519578,0.2699937304075235,1.0,0.7300062695924765,True
cluster_470,6,0.892120669056153,1.0,0.26424931460526535,0.3527240143369175,1.0,0.6472759856630825,True
cluster_471,9,0.6737574750261482,1.0,0.38735201864147856,0.23241379310344829,1.0,0.7675862068965518,True
cluster_472,4,0.42937686702089684,0.24319133034379675,0.3805462060131942,0.23112480739599384,1.0,0.7688751926040062,True
cluster_473,6,0.8718703976435935,1.0,0.313852146718905,0.23122238586156116,1.0,0.7687776141384388,True
cluster_474,4,0.8223076923076923,1.0,0.3553846153846154,0.28923076923076924,1.0,0.7107692307692308,True
cluster_475,4,0.8535564853556485,1.0,0.2928870292887029,0.4142259414225942,1.0,0.5857740585774058,True
cluster_476,13,0.5371870856967107,0.2690476190476191,0.3820767227204649,0.19540229885057464,1.0,0.8045977011494254,True
cluster_477,5,0.846857142857143,1.0,0.34243783883996776,0.23428571428571437,1.0,0.7657142857142856,True
cluster_478,3,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_479,3,0.15339436357399333,0.1545012165450122,0.027932577412428383,0.1249248120300752,0.1807570621468926,0.0558322501168174,False
cluster_48,6,0.5002041508424552,0.3181818181818181,0.3920279437501591,0.16491654021244323,1.0,0.8350834597875567,True
cluster_480,4,0.5965617151058485,0.6097900968783638,0.4663509835406137,0.16666666666666666,1.0,0.8333333333333334,True
cluster_482,4,0.15256524689973863,0.15395443167210976,0.08226499737386611,0.05444126074498578,0.24791086350974922,0.19346960276476344,False
cluster_483,6,0.14378215757777535,0.13160016542597192,0.02720445811405711,0.12068100358422938,0.1809056603773585,0.06022465679312912,False
cluster_484,4,0.6253145562510031,0.6268656716417911,0.4326568982081049,0.24752688172043016,1.0,0.7524731182795699,True
